,data,label
457,hydrocarbons,0
458,emergency,0
459,mm,0
460,"provlslon,",0
461,mlnorlty,0
462,busmess,0
463,chemlcal,0
464,7,0
465,Issuesy;,0
466,1::,0
467,quantltatlve,0
468,1n,0
469,15,0
470,15,0
471,13113:“.1,0
472,Innovatlve,0
473,v.5.,0
474,appolnted,0
475,cm,0
476,b-,0
477,1ntellectual,0
478,15,0
479,1ndustry,0
480,Ludlngton,0
481,1n,0
482,Temporary,0
483,unresponslve,0
484,2117210.,0
485,by,0
486,Commlttee,0
487,7,0
488,chemlcal.,0
489,slgnlflcantly,0
490,Industry,0
491,Chlorlde,0
492,n,0
493,"1934,",0
494,practlcally,0
495,1::,0
496,Pollcles,0
497,1nto,0
498,chemlcal,0
499,35,0
500,Pollcy,0
501,m,0
502,D'Nelll,0
503,1:,0
504,Publlc,0
505,thls,0
506,Invastmant,0
507,Commlttee,0
508,15,0
509,mm,0
510,Hlth,0
511,15,0
512,1n,0
513,companles.,0
514,blochemlcal,0
515,toxlcologlcal,0
516,"Verslon...""",0
517,provlslon.,0
518,mlght,0
519,maklng,0
520,1932.,0
521,Offlce,0
522,absorptlon,0
523,1n,0
524,Transportatlon,0
525,Act.,0
526,mm,0
527,1ncreased,0
528,Department,0
529,Broyhlll,0
530,Agency,0
531,commlttee,0
532,1n,0
533,1n,0
534,Glyc-l,0
535,Marketlng,0
536,submltted,0
537,1nd1cated,0
538,Presldentlal,0
539,1:,0
540,15,0
541,submltted,0
542,mm,0
543,1ncreased,0
544,multlnatlonals.,0
545,Commlttee.,0
546,"leglslatlon,",0
547,c.rr1ers,0
548,hlgh,0
549,whlch,0
550,"CommlttEE,",0
551,Protectlon,0
552,cm,0
553,7,0
554,Hlth,0
555,Department,0
556,dlscharges,0
557,assoclatlon.,0
558,m-ny,0
559,DEHA.,0
560,"""utter'cynlclsm"".",0
561,Bulldlng,0
562,036161,0
563,05%.”:,0
564,Hlth,0
565,mllllon,0
566,"adulteratlon,",0
567,actlvlty,0
568,opposltlon;,0
569,"452,200",0
570,culmlnated,0
571,publlc,0
572,1nc1dents,0
573,m,0
574,1995,0
575,transportatlon,0
576,1935.,0
577,development,0
578,companles,0
579,Conservatlon,0
580,rlghts,0
581,t,0
582,nocumms,0
583,by.,0
584,programs,0
585,Hlth,0
586,m,0
587,leglslatlon,0
588,sultch,0
589,15,0
590,"""Communlty",0
591,"system,",0
592,emlsslons,0
593,quallfld,0
594,Parlshes,0
595,dlscusslons,0
596,"dlstrlbutlon,",0
597,satellltes,0
598,117,0
599,mm,0
600,"mm,",0
601,commlttee,0
602,1nfomatlon,0
603,111.,0
604,amendments,0
605,assoclated,0
606,Chalrman,0
607,15,0
608,expresslng,0
609,commlttee,0
610,"follows,",0
611,contlnued,0
612,dlscharges,0
613,x,0
614,unportant,0
615,119,0
616,"Act,",0
617,Th1:,0
618,Conservatlon,0
619,15,0
620,1935.,0
621,15,0
622,"1935,",0
623,chemlcal,0
624,1ndustry's,0
625,worldwlde,0
626,opposltlon,0
627,Commlttee.,0
628,chemlcal,0
629,emphaslze,0
630,publlc,0
631,by,0
632,establlshlng,0
633,1n,0
634,...has,0
635,1ncreased,0
636,dependlng,0
637,19m,0
638,asslgned,0
639,037901,0
640,1n,0
641,pgnsomm,0
642,crltlcal,0
643,w.,0
644,quallflcatlons,0
645,mm,0
646,patroehamlcal,0
647,cm,0
648,"admlnlstered,",0
649,emergency,0
650,Superfund,0
651,1n,0
652,$550,0
653,mm,0
654,Agency,0
655,1937:,0
656,requlrements,0
657,Postilg‘la,0
658,Industry,0
659,Hlth,0
660,"1935,",0
661,thlckness,0
662,companles,0
663,leglslatlve,0
664,credlt,0
665,tel.vlslon,0
666,substantlally,0
667,Agency,0
668,3,0
669,1ncremental,0
670,by,0
671,Examples,0
672,15,0
673,mlght,0
674,publlc,0
675,competltlon,0
676,"transport,",0
677,launchlng,0
678,Exhibit,0
679,1:,0
680,19,0
681,1995,0
682,1995,0
683,Polychlorlnat-d,0
684,1:,0
685,"1ndustr1es,",0
686,chemlcal,0
687,flnallzed,0
688,Reflners,0
689,1n,0
690,1nvestment.,0
691,0.,0
692,1ncreased,0
693,effectlve,0
694,1nto,0
695,restralnts,0
696,1201,0
697,1n,0
698,Hlth,0
699,Vlrtually,0
700,sncnm,0
701,aueeeeefully,0
702,7.,0
703,provlded,0
704,programs.,0
705,unknown,0
706,Amerlcan,0
707,1nterests,0
708,competltlon,0
709,partlclpate,0
710,prohlbltlon,0
711,trylng,0
712,<3.,0
713,authorltles,0
714,Identlty,0
715,burdensome,0
716,Admlnlstrator,0
717,knowledgeable,0
718,(scicalled,0
719,1n,0
720,unplement,0
721,"amendments,",0
722,dlscuss,0
723,7,0
724,prlnclpal,0
725,CMA/NTP,0
726,3,0
727,"provlslons,",0
728,Commlttee,0
729,Plastlcs,0
730,1nput,0
731,1nvolved,0
732,expectatlo,0
733,substantlve,0
734,Functlonal,0
735,NGPA.,0
736,Communlcatlons,0
737,System,0
738,preparatlon,0
739,1ndustry,0
740,1n,0
741,relatlvely,0
742,Identlfy,0
743,mm,0
744,workeriexposure,0
745,cumbersome,0
746,screenlng,0
747,customers;,0
748,"""1:",0
749,thls,0
750,74.500,0
751,establlshed,0
752,15,0
753,strategy,0
754,15,0
755,representatlves,0
756,1n,0
757,network.,0
758,consultants,0
759,m,0
760,companles,0
761,15,0
762,"breaklng.""",0
763,countrles.,0
764,"companles,",0
765,Capltalilntenslve,0
766,s.,0
767,emphaslze,0
768,1n,0
769,prlnclpal,0
770,Eulflll,0
771,pollcy,0
772,"posltlons,",0
773,procedures.,0
774,charterlng,0
775,chemlcal,0
776,allowlng,0
777,shlpments.,0
778,1nto,0
779,Th1:,0
780,malntenance,0
781,dlrected,0
782,"CommlttEE,",0
783,whlch,0
784,strategy,0
785,v.5.,0
786,Drganlzatlons,0
787,CMA'S,0
788,t,0
789,exemptlng,0
790,dlsposal,0
791,communltles,0
792,5,0
793,1n,0
794,77,0
795,ppm,0
796,chlorlde,0
797,1n,0
798,requlrements,0
799,rlsks,0
800,1n7plant,0
801,whlch,0
802,"Brltaln,",0
803,establlshed,0
804,mlnlmlzlng,0
805,1nclud1ng,0
806,15,0
807,developmg,0
808,chalrmen,0
809,15,0
810,1n,0
811,1nformatlon,0
812,supervlslon,0
813,037952,0
814,"commlttees,",0
815,testlng;,0
816,"1nfomatlon,",0
817,1n,0
818,approprlate,0
819,perspectlve.,0
820,15,0
821,developlng,0
822,admlnlstratlon's,0
823,.,0
824,dlscussed.,0
825,promulgatlon,0
826,"-nd,",0
827,subsldlarles,0
828,1nspect1ng,0
829,Offlcers,0
830,rec-mmendatlons,0
831,039341,0
832,resolutlon,0
833,55,0
834,programs,0
835,"9,",0
836,61nd,0
837,1:,0
838,chemlcal,0
839,completed,0
840,~,0
841,3,0
842,system,0
843,Regulatlons,0
844,1n,0
845,by,0
846,1n,0
847,m.,0
848,partlclpants,0
849,quantlty,0
850,quallflcatlon,0
851,1nclude,0
852,37311,0
853,gentlemen.,0
854,provlslons,0
855,Dbjectlves,0
856,development,0
857,CMA'S,0
858,dlscussed,0
859,1mpoundments,0
860,15,0
861,Significant,0
862,a.,0
863,requlrement,0
864,by,0
865,CCPA'S,0
866,publlc,0
867,opposlng,0
868,Governor's,0
869,confldentlallty,0
870,14,0
871,by,0
872,1n,0
873,by,0
874,broadibased,0
875,7,0
876,"Flnally,",0
877,spokemanshlp,0
878,publlc,0
879,Englneerlng,0
880,cm,0
881,15,0
882,substances,0
883,Congressman,0
884,Hearlngs,0
885,s,0
886,1::,0
887,v.,0
888,whlch,0
889,posslbllltles,0
890,completed,0
891,Executlve,0
892,developlng,0
893,1::,0
894,domestlc,0
895,l.b111ty,0
896,1ncorporated,0
897,compromlse.,0
898,"v,",0
899,1994?,0
900,1::,0
901,background,0
902,productlve.,0
903,dld,0
904,Massachusetts.,0
905,s_lectlon,0
906,1994,0
907,problems,0
908,thls.,0
909,7,0
910,representatlve,0
911,Admlnlstrator,0
912,malntaln,0
913,plalnlffs,0
914,Frost's,0
915,15,0
916,1n,0
917,Th1:,0
918,publlc,0
919,effectlve,0
920,Congresslonal,0
921,chemlcal,0
922,CDNG'M,0
923,components.,0
924,credlblllty,0
925,Superfund,0
926,15,0
927,completed,0
928,3:00,0
929,emanatlng,0
930,1rrespon51ble,0
931,Leglslatlon,0
932,"deterloratlng,",0
933,3939,0
934,CMA'S,0
935,testlng,0
936,reformlnded,0
937,mm,0
938,by,0
939,leglslatlve,0
940,"475,",0
941,communlcatlons,0
942,companles,0
943,speclflc,0
944,thls,0
945,shlpments.,0
946,15,0
947,1:,0
948,conslstent,0
949,Agency,0
950,EPA'S,0
951,Government,0
952,regulatlons,0
953,cm,0
954,u.S.,0
955,dellberatlons,0
956,Amendments,0
957,Blamedlcal,0
958,"Callfornla,",0
959,Chemlcal,0
960,1n,0
961,2917,0
962,Congresslonal,0
963,organlzatlon.,0
964,1nterests.,0
965,developmg,0
966,1995,0
967,exemptons,0
968,llsted,0
969,Televlslon,0
970,&,0
971,Investment,0
972,1nteri,0
973,meetlngs,0
974,1nto,0
975,.500,0
976,7,0
977,Assoclatlon,0
978,whlch,0
979,"10,",0
980,"Inc.,",0
981,lobbylng,0
982,leglslatlve,0
983,"""multlpller""",0
984,sollclted,0
985,ummmns,0
986,Congresslonal,0
987,1n,0
988,Callfornla,0
989,avaliablllty,0
990,Majorlty,0
991,"29,",0
992,cm,0
993,countrles,0
994,achlevlng,0
995,"25,",0
996,chemlcals,0
997,mm,0
998,7,0
999,Hlth,0
1000,15,0
1001,0,0
1002,EPA'S,0
1003,t,0
1004,Th1:,0
1005,Dannem-yer,0
1006,15,0
1007,m,0
1008,followlng,0
1009,property,0
1010,$3,0
1011,flnanclal,0
1012,Pennsylvanla,0
1013,1ndustry.,0
1014,Chlorlde,0
1015,744.,0
1016,74,0
1017,responslblllty,0
1018,Department,0
1019,Commlttee,0
1020,purchased,0
1021,1n,0
1022,constructlon,0
1023,Tourlsm,0
1024,(ACES),0
1025,department,0
1026,recelpts,0
1027,3111.,0
1028,extenslvely,0
1029,Inc.,0
1030,v.5.,0
1031,1:,0
1032,provlslon,0
1033,"*Utah),",0
1034,1:,0
1035,workplace.,0
1036,1n,0
1037,thls,0
1038,"Accordlngly,",0
1039,progresslon,0
1040,challenges,0
1041,1n,0
1042,Developments,0
1043,037927,0
1044,brlefly.,0
1045,Hlth,0
1046,011,0
1047,concernlng,0
1048,Actlvltles,0
1049,negotlatlng,0
1050,1ndustr1es.,0
1051,partners,0
1052,15,0
1053,Assoclatlon,0
1054,Authorlty,0
1055,projects,0
1056,1nstead,0
1057,consultant,0
1058,predlcted,0
1059,Commlttee,0
1060,th-,0
1061,"(XL),",0
1062,1n,0
1063,Hlth,0
1064,excellent,0
1065,"(CEFIC),",0
1066,negotlatlons.,0
1067,Inc.,0
1068,recommendatlon,0
1069,1nvolves,0
1070,1rrespect1ve,0
1071,Pretreatment:,0
1072,dlfferently,0
1073,admlnlstratlon's,0
1074,assoclatlon.,0
1075,partlclpatlng,0
1076,mvmmn,0
1077,reduclng,0
1078,"Assoclatlon,",0
1079,rlsk,0
1080,1n,0
1081,4,0
1082,negotlated,0
1083,1nvastmant,0
1084,chemlcal,0
1085,flveﬂnlnute,0
1086,occaslonal,0
1087,1:,0
1088,1::,0
1089,prlu—rlly,0
1090,dlsposal,0
1091,"""plastlcs",0
1092,resolved...problem,0
1093,2249,0
1094,prlorlty,0
1095,determlned,0
1096,resolutlon,0
1097,"b111,",0
1098,respondlng,0
1099,"antlelpatlon""",0
1100,1nsertlon,0
1101,"2,",0
1102,TSCA.,0
1103,7,0
1104,Pollcy,0
1105,7,0
1106,1n,0
1107,01m,0
1108,Significant,0
1109,sensltlve,0
1110,companles,0
1111,domestlc,0
1112,requlrements,0
1113,"(1.e.,",0
1114,1992,0
1115,Stamford.,0
1116,"""Trlpartlte",0
1117,Development,0
1118,Infomatlon,0
1119,1ndustry,0
1120,Hlth,0
1121,esponslveness,0
1122,leglslatlve,0
1123,Commlttee,0
1124,"hemlsphere,",0
1125,emlsslons,0
1126,Informatlon,0
1127,1n,0
1128,(GPP'57,0
1129,currency,0
1130,1:,0
1131,1nformatlon.,0
1132,1nternatlona,0
1133,m,0
1134,"regulatlons,",0
1135,1ncreased,0
1136,authorlzed,0
1137,1mportant,0
1138,3,0
1139,growlng,0
1140,1nterests,0
1141,1nclud1ng,0
1142,actlvlty,0
1143,cm,0
1144,w.,0
1145,rlght,0
1146,Chemlcal,0
1147,mllllon.,0
1148,Assessment,0
1149,flrst,0
1150,endlng,0
1151,"productlon,",0
1152,posslble,0
1153,thls,0
1154,by,0
1155,strategy,0
1156,connectlon,0
1157,success,0
1158,pollcy,0
1159,7,0
1160,1ndustryisponsored,0
1161,Prnduct,0
1162,trucks.,0
1163,producers.,0
1164,whlch,0
1165,dlstrlbutors,0
1166,1ndustry,0
1167,Congressman,0
1168,M.dlson.,0
1169,enactment.,0
1170,mechanlsm,0
1171,Congresslonal,0
1172,llmlted,0
1173,21,0
1174,1n,0
1175,1n,0
1176,5m,0
1177,15,0
1178,1n,0
1179,"3,",0
1180,Cltlng,0
1181,1:,0
1182,Commlttee's,0
1183,Th1:,0
1184,2.,0
1185,1nclude:,0
1186,x,0
1187,m,0
1188,publlc,0
1189,newsletter,0
1190,Investment,0
1191,manufacturlng,0
1192,fundlng,0
1193,assessment,0
1194,network.,0
1195,luvplementlng,0
1196,occupatlonal,0
1197,1:,0
1198,Sunsettlng.,0
1199,sometlmes,0
1200,Cambrldge,0
1201,Bulldlng,0
1202,Agency,0
1203,Cltlzen,0
1204,rlsk,0
1205,1n,0
1206,performance,0
1207,Caldwell,0
1208,declslon.,0
1209,Inc.,0
1210,carefully,0
1211,1,0
1212,1nclues,0
1213,flscal,0
1214,congresslonal,0
1215,0.3.,0
1216,Trl-hloroethylene,0
1217,1n,0
1218,1980,0
1219,faclng.,0
1220,offlcers,0
1221,producers.,0
1222,1n,0
1223,"artlcle""",0
1224,recycllng.,0
1225,"regulatlons,",0
1226,mm,0
1227,by,0
1228,hearlngs,0
1229,whlch,0
1230,"communlcatlon,",0
1231,1n,0
1232,jurlsdlctlons,0
1233,Membrs,0
1234,currently,0
1235,actlvlty,0
1236,"Chemlcals,",0
1237,relatlvely,0
1238,contactlng,0
1239,candldates,0
1240,manufacture,0
1241,cm,0
1242,1mplemented.,0
1243,deslgned,0
1244,trlethylene,0
1245,reautholzatlon,0
1246,v.,0
1247,1n,0
1248,15,0
1249,cm.,0
1250,Emergency,0
1251,1n,0
1252,"2572B,",0
1253,emphaslze,0
1254,"contlngencles,",0
1255,assessment,0
1256,provlslons,0
1257,enforcement,0
1258,provlslons,0
1259,1ntroductlon,0
1260,actlvltles.,0
1261,Addltloni,0
1262,thls,0
1263,1ndustry,0
1264,healthibased,0
1265,supportlng,0
1266,Implementatlon,0
1267,challenge,0
1268,reauthorlzatlon.,0
1269,1ndustry,0
1270,"415,700",0
1271,Conaervatlon,0
1272,(TCJL7,0
1273,1nfluentlal,0
1274,m,0
1275,plannlng,0
1276,Mallocms,0
1277,actlvltles.,0
1278,blll,0
1279,unreasonable,0
1280,supplemented,0
1281,1mpact,0
1282,chronlc,0
1283,opposltlon,0
1284,envlronmental,0
1285,cm,0
1286,Energy,0
1287,1n,0
1288,leglslatlve,0
1289,1972,0
1290,1nfomatlon,0
1291,51mm,0
1292,polltlcal,0
1293,"Thls,",0
1294,profasslonals,0
1295,Geraldlne,0
1296,"meetlngs,",0
1297,supplles,0
1298,1nterested,0
1299,modlfy,0
1300,Energy,0
1301,11mm:,0
1302,offlclals,0
1303,nothlng,0
1304,.,0
1305,Th1:,0
1306,cm,0
1307,extenslon,0
1308,s,0
1309,supply,0
1310,15,0
1311,by,0
1312,Hlth,0
1313,0F,0
1314,Th1:,0
1315,costly,0
1316,cm,0
1317,Summarles,0
1318,Chemlcal,0
1319,undertaken,0
1320,"""Cleanlng",0
1321,by,0
1322,perceptlon,0
1323,11:3071150,0
1324,039757,0
1325,1n,0
1326,1mplement1ng,0
1327,1n,0
1328,lslators.,0
1329,Congressmen,0
1330,cmng,0
1331,contlnulng,0
1332,Chalrm.,0
1333,feedstock:,0
1334,0,0
1335,19737807,0
1336,con-ervatlve,0
1337,lobbylng,0
1338,"employers,",0
1339,rlsk,0
1340,1nformatlon,0
1341,1994,0
1342,"""wlndall""",0
1343,Installatlon,0
1344,chemlcal,0
1345,1ncreases,0
1346,ellmlnate,0
1347,by,0
1348,m,0
1349,Reportlng,0
1350,"555,900",0
1351,7,0
1352,revls-d,0
1353,Commlttee,0
1354,prlvllege,0
1355,Dlrect,0
1356,1ndustry,0
1357,15,0
1358,necessary“,0
1359,"quantlty,",0
1360,communlcatlons,0
1361,entlrety.,0
1362,contrlbute,0
1363,chemlcal,0
1364,rlsk.,0
1365,Congresslonal,0
1366,chemlcal,0
1367,pollutants,0
1368,s.,0
1369,mm,0
1370,producers.,0
1371,"""Irreplaceable""",0
1372,occaslonally,0
1373,entltled,0
1374,1nvest1gatlon,0
1375,Government,0
1376,115:,0
1377,1:5,0
1378,leglslatlve,0
1379,thrust,0
1380,chemlcal,0
1381,Hlth,0
1382,c.,0
1383,prospects,0
1384,517,0
1385,dld,0
1386,"systems,",0
1387,conslderatlons.,0
1388,"chemlcals,",0
1389,cm,0
1390,mngell,0
1391,dlssealnatlon,0
1392,collectlve,0
1393,presmenpsecremry,0
1394,Executlve,0
1395,1993,0
1396,commltments.,0
1397,leadershlp,0
1398,declslons,0
1399,Vlolators,0
1400,1935.,0
1401,Act.,0
1402,manufacturers,0
1403,"15k,",0
1404,rlsks,0
1405,1nfomed,0
1406,by,0
1407,m,0
1408,1n,0
1409,ellglblllty,0
1410,Flsherles,0
1411,21m;,0
1412,whlch,0
1413,Government,0
1414,dlscusslons,0
1415,part1c1*,0
1416,leadershlp.,0
1417,speclfy,0
1418,horlsontsl,0
1419,Brazlllan,0
1420,actlvltles,0
1421,accompanled,0
1422,1n,0
1423,manufacturlng,0
1424,1n,0
1425,4,0
1426,Hazards.,0
1427,Subcommlttee,0
1428,consldered.,0
1429,557515,0
1430,fundlng,0
1431,$95,0
1432,coordlnators,0
1433,1nd1cated,0
1434,communlcatlon,0
1435,boycotts.,0
1436,costieffectlve,0
1437,111.,0
1438,condltlons.,0
1439,7,0
1440,"Tomorrow,",0
1441,whlch,0
1442,tlmetables.,0
1443,llmltatlons,0
1444,constltutlonal,0
1445,"membershlp,",0
1446,speclfled,0
1447,039591,0
1448,"25,",0
1449,1992.,0
1450,"commlttees,",0
1451,formerly,0
1452,adoptlng,0
1453,500,0
1454,1::,0
1455,"1n1tlated,",0
1456,1n,0
1457,:1,0
1458,Appals,0
1459,1:,0
1460,Energy,0
1461,3711,0
1462,Addltlves,0
1463,1nfomatlon,0
1464,compulsory,0
1465,1,0
1466,1,0
1467,1nclude,0
1468,7,0
1469,~,0
1470,cm.,0
1471,companles,0
1472,(R1ght*to*Know7,0
1473,1n,0
1474,Fundlng,0
1475,fr,0
1476,m,0
1477,15,0
1478,personnel,0
1479,(NSF7,0
1480,compendlum,0
1481,restrlctlon,0
1482,posltlons,0
1483,lltlgatlon,0
1484,7,0
1485,(TSCA7,0
1486,sottlng,0
1487,"1111mm,",0
1488,017,0
1489,Commlttee,0
1490,"1935,",0
1491,Callfornla,0
1492,37355,0
1493,"quotatlons,",0
1494,mm,0
